Batsman Name,Team,Dots,Singles,Doubles,Triples,Fours,Sixes,Runs,Deliveries,Opposition Team,Career Average,Match ID,Match Date,Match Year,Venue,,
R Dravid,India,17,4,1,0,3,0,18,25,West Indies,39.16,2382,May-28-2006,2006,Port of Spain,,
Yuvraj Singh,India,18,3,6,1,2,0,26,30,West Indies,36.37,2382,May-28-2006,2006,Port of Spain,,
M Kaif,India,17,8,0,0,1,0,12,26,West Indies,32.01,2382,May-28-2006,2006,Port of Spain,,
SK Raina,India,12,2,0,0,0,0,2,14,West Indies,36.16,2382,May-28-2006,2006,Port of Spain,,
AB Agarkar,India,14,19,1,0,0,0,21,34,West Indies,14.58,2382,May-28-2006,2006,Port of Spain,,
Harbhajan Singh,India,16,14,0,0,3,0,26,33,West Indies,13.22,2382,May-28-2006,2006,Port of Spain,,
MM Patel,India,1,0,0,0,0,0,0,1,West Indies,6.72,2382,May-28-2006,2006,Port of Spain,,
S Sreesanth,India,0,2,0,0,0,0,2,2,West Indies,4,2382,May-28-2006,2006,Port of Spain,,
ME Trescothick,England,50,41,9,2,12,0,113,114,Ireland,37.37,2383,Jun-13-2006,2006,Belfast,,
EC Joyce,England,17,2,0,0,2,0,10,21,Ireland,33.75,2383,Jun-13-2006,2006,Belfast,,
AJ Strauss,England,12,0,0,0,1,0,4,13,Ireland,35.63,2383,Jun-13-2006,2006,Belfast,,
PD Collingwood,England,8,0,0,2,1,0,10,11,Ireland,35.36,2383,Jun-13-2006,2006,Belfast,,
IR Bell,England,47,37,12,1,4,0,80,101,Ireland,37.87,2383,Jun-13-2006,2006,Belfast,,
JWM Dalrymple,England,5,7,5,0,0,0,17,17,Ireland,20,2383,Jun-13-2006,2006,Belfast,,
GO Jones,England,3,6,1,0,3,0,20,13,Ireland,24.62,2383,Jun-13-2006,2006,Belfast,,
G Chapple,England,1,4,0,0,1,1,14,7,Ireland,24.29,2383,Jun-13-2006,2006,Belfast,,
LE Plunkett,England,2,3,0,0,0,0,3,5,Ireland,21,2383,Jun-13-2006,2006,Belfast,,
DI Joyce,Ireland,3,0,0,0,0,0,0,3,England,30.3,2383,Jun-13-2006,2006,Belfast,,
JP Bray,Ireland,18,6,2,0,3,0,22,29,England,1,2383,Jun-13-2006,2006,Belfast,,
AC Botha,Ireland,58,21,4,1,5,0,52,89,England,13,2383,Jun-13-2006,2006,Belfast,,
WK McCallan,Ireland,29,14,1,0,2,0,24,46,England,11,2383,Jun-13-2006,2006,Belfast,,
PG Gillespie,Ireland,3,0,0,0,0,0,0,3,England,21.46,2383,Jun-13-2006,2006,Belfast,,
DT Johnston,Ireland,2,1,0,0,1,0,5,4,England,20.75,2383,Jun-13-2006,2006,Belfast,,
AR White,Ireland,21,15,1,1,5,0,40,43,England,22.83,2383,Jun-13-2006,2006,Belfast,,
KJ O'Brien,Ireland,25,17,3,0,3,0,35,48,England,15.34,2383,Jun-13-2006,2006,Belfast,,
D Langford-Smith,Ireland,3,4,4,0,0,0,12,11,England,11,2383,Jun-13-2006,2006,Belfast,,
JF Mooney,Ireland,10,9,4,1,1,1,30,26,England,17,2383,Jun-13-2006,2006,Belfast,,
PJK Mooney,Ireland,0,5,1,0,1,0,11,7,England,14.5,2383,Jun-13-2006,2006,Belfast,,
WU Tharanga,Sri Lanka,83,54,5,0,14,0,120,156,England,33.39,2384,Jun-17-2006,2006,Lord's,,
ST Jayasuriya,Sri Lanka,18,1,1,0,2,0,11,22,England,32.36,2384,Jun-17-2006,2006,Lord's,,
DPMD Jayawardene,Sri Lanka,20,12,3,0,0,1,24,36,England,33.37,2384,Jun-17-2006,2006,Lord's,,
KC Sangakkara,Sri Lanka,11,4,0,1,2,0,15,18,England,41.98,2384,Jun-17-2006,2006,Lord's,,
TM Dilshan,Sri Lanka,4,9,2,0,0,0,13,15,England,39.65,2384,Jun-17-2006,2006,Lord's,,
RP Arnold,Sri Lanka,7,8,0,0,0,0,8,15,England,35.26,2384,Jun-17-2006,2006,Lord's,,
CK Kapugedera,Sri Lanka,5,1,0,0,0,0,1,6,England,22.04,2384,Jun-17-2006,2006,Lord's,,
WPUJC Vaas,Sri Lanka,6,8,1,0,0,0,10,15,England,13.68,2384,Jun-17-2006,2006,Lord's,,
SL Malinga,Sri Lanka,5,3,0,0,0,0,3,8,England,6.96,2384,Jun-17-2006,2006,Lord's,,
CRD Fernando,Sri Lanka,3,4,1,0,1,0,10,9,England,9.19,2384,Jun-17-2006,2006,Lord's,,
M Muralitharan,Sri Lanka,4,0,0,0,0,0,0,4,England,6.8,2384,Jun-17-2006,2006,Lord's,,
ME Trescothick,England,60,27,5,0,6,1,67,99,Sri Lanka,37.37,2384,Jun-17-2006,2006,Lord's,,
AJ Strauss,England,9,5,0,1,1,0,12,16,Sri Lanka,35.63,2384,Jun-17-2006,2006,Lord's,,
IR Bell,England,6,1,1,0,1,0,7,9,Sri Lanka,37.87,2384,Jun-17-2006,2006,Lord's,,
KP Pietersen,England,8,4,1,0,1,0,10,14,Sri Lanka,40.73,2384,Jun-17-2006,2006,Lord's,,
PD Collingwood,England,7,0,0,0,0,0,0,7,Sri Lanka,35.36,2384,Jun-17-2006,2006,Lord's,,
JWM Dalrymple,England,42,33,7,0,5,0,67,87,Sri Lanka,20,2384,Jun-17-2006,2006,Lord's,,
GO Jones,England,8,11,4,0,0,0,19,23,Sri Lanka,24.62,2384,Jun-17-2006,2006,Lord's,,
TT Bresnan,England,9,10,1,0,1,0,16,21,Sri Lanka,19.79,2384,Jun-17-2006,2006,Lord's,,
SI Mahmood,England,2,2,3,0,0,0,8,7,Sri Lanka,7.72,2384,Jun-17-2006,2006,Lord's,,
LE Plunkett,England,5,6,2,0,1,0,14,14,Sri Lanka,21,2384,Jun-17-2006,2006,Lord's,,
SJ Harmison,England,1,3,1,0,0,0,5,5,Sri Lanka,8.27,2384,Jun-17-2006,2006,Lord's,,
WU Tharanga,Sri Lanka,21,5,2,0,2,0,17,30,England,33.39,2385,Jun-20-2006,2006,The Oval,,
ST Jayasuriya,Sri Lanka,76,38,3,2,15,2,122,136,England,32.36,2385,Jun-20-2006,2006,The Oval,,
DPMD Jayawardene,Sri Lanka,25,23,7,1,5,1,66,62,England,33.37,2385,Jun-20-2006,2006,The Oval,,
KC Sangakkara,Sri Lanka,13,19,3,0,5,1,51,41,England,41.98,2385,Jun-20-2006,2006,The Oval,,
TM Dilshan,Sri Lanka,5,5,0,0,1,0,9,11,England,39.65,2385,Jun-20-2006,2006,The Oval,,
RP Arnold,Sri Lanka,5,1,2,0,0,0,5,8,England,35.26,2385,Jun-20-2006,2006,The Oval,,
MF Maharoof,Sri Lanka,0,0,0,0,0,0,0,0,England,19.29,2385,Jun-20-2006,2006,The Oval,,
WPUJC Vaas,Sri Lanka,3,3,1,0,2,0,13,9,England,13.68,2385,Jun-20-2006,2006,The Oval,,
SL Malinga,Sri Lanka,1,2,0,0,0,0,2,3,England,6.96,2385,Jun-20-2006,2006,The Oval,,
M Muralitharan,Sri Lanka,0,1,0,0,0,0,1,1,England,6.8,2385,Jun-20-2006,2006,The Oval,,
ME Trescothick,England,5,1,0,0,2,0,9,8,Sri Lanka,37.37,2385,Jun-20-2006,2006,The Oval,,
AJ Strauss,England,13,6,2,0,2,0,18,23,Sri Lanka,35.63,2385,Jun-20-2006,2006,The Oval,,
IR Bell,England,30,12,3,0,4,1,40,50,Sri Lanka,37.87,2385,Jun-20-2006,2006,The Oval,,
KP Pietersen,England,39,25,3,0,9,1,73,77,Sri Lanka,40.73,2385,Jun-20-2006,2006,The Oval,,
PD Collingwood,England,19,32,8,0,2,0,56,61,Sri Lanka,35.36,2385,Jun-20-2006,2006,The Oval,,
JWM Dalrymple,England,11,17,3,0,2,1,37,34,Sri Lanka,20,2385,Jun-20-2006,2006,The Oval,,
GO Jones,England,8,0,1,0,0,1,8,10,Sri Lanka,24.62,2385,Jun-20-2006,2006,The Oval,,
TT Bresnan,England,3,5,0,0,0,1,11,9,Sri Lanka,19.79,2385,Jun-20-2006,2006,The Oval,,
SI Mahmood,England,3,0,0,0,1,0,4,4,Sri Lanka,7.72,2385,Jun-20-2006,2006,The Oval,,
LE Plunkett,England,1,1,1,0,0,0,3,3,Sri Lanka,21,2385,Jun-20-2006,2006,The Oval,,
SJ Harmison,England,2,0,1,0,0,0,2,3,Sri Lanka,8.27,2385,Jun-20-2006,2006,The Oval,,
ME Trescothick,England,23,8,2,0,6,0,36,39,Sri Lanka,37.37,2386,Jun-24-2006,2006,Chester-le-Street,,
AJ Strauss,England,24,14,3,0,3,0,32,44,Sri Lanka,35.63,2386,Jun-24-2006,2006,Chester-le-Street,,
IR Bell,England,63,33,13,2,3,0,77,114,Sri Lanka,37.87,2386,Jun-24-2006,2006,Chester-le-Street,,
KP Pietersen,England,13,2,0,0,1,0,6,16,Sri Lanka,40.73,2386,Jun-24-2006,2006,Chester-le-Street,,
PD Collingwood,England,22,14,2,1,3,0,33,42,Sri Lanka,35.36,2386,Jun-24-2006,2006,Chester-le-Street,,
JWM Dalrymple,England,12,15,1,0,3,1,35,32,Sri Lanka,20,2386,Jun-24-2006,2006,Chester-le-Street,,
GO Jones,England,1,8,1,0,3,0,22,13,Sri Lanka,24.62,2386,Jun-24-2006,2006,Chester-le-Street,,
AGR Loudon,England,0,0,0,0,0,0,0,0,Sri Lanka,31.25,2386,Jun-24-2006,2006,Chester-le-Street,,
LE Plunkett,England,0,2,0,0,1,0,6,3,Sri Lanka,21,2386,Jun-24-2006,2006,Chester-le-Street,,
WU Tharanga,Sri Lanka,26,8,1,1,7,0,41,43,England,33.39,2386,Jun-24-2006,2006,Chester-le-Street,,
ST Jayasuriya,Sri Lanka,7,1,0,0,4,1,23,13,England,32.36,2386,Jun-24-2006,2006,Chester-le-Street,,
DPMD Jayawardene,Sri Lanka,64,38,6,0,19,0,126,127,England,33.37,2386,Jun-24-2006,2006,Chester-le-Street,,
KC Sangakkara,Sri Lanka,38,28,5,0,5,0,58,76,England,41.98,2386,Jun-24-2006,2006,Chester-le-Street,,
NJ MacRae,Scotland,13,2,0,0,0,0,2,15,Pakistan,21.9,2387,Jun-27-2006,2006,Edinburgh,,
IM Stanger,Scotland,3,3,0,0,0,0,3,6,Pakistan,27.85,2387,Jun-27-2006,2006,Edinburgh,,
RR Watson,Scotland,52,16,3,0,13,1,80,85,Pakistan,17.66,2387,Jun-27-2006,2006,Edinburgh,,
GM Hamilton,Scotland,7,1,0,0,2,0,9,10,Pakistan,35.17,2387,Jun-27-2006,2006,Edinburgh,,
CJO Smith,Scotland,3,0,0,0,0,0,0,3,Pakistan,11.6,2387,Jun-27-2006,2006,Edinburgh,,
NFI McCallum,Scotland,83,36,5,0,4,1,68,129,Pakistan,10.85,2387,Jun-27-2006,2006,Edinburgh,,
DR Lockhart,Scotland,21,7,1,0,4,0,25,33,Pakistan,22.94,2387,Jun-27-2006,2006,Edinburgh,,
PJC Hoffmann,Scotland,1,0,0,0,0,0,0,1,Pakistan,13.28,2387,Jun-27-2006,2006,Edinburgh,,
JAR Blain,Scotland,11,0,0,0,0,0,0,11,Pakistan,2,2387,Jun-27-2006,2006,Edinburgh,,
JD Nel,Scotland,5,3,0,0,0,0,3,8,Pakistan,11.33,2387,Jun-27-2006,2006,Edinburgh,,
Shoaib Malik,Pakistan,22,2,2,0,4,0,22,30,Scotland,32.67,2387,Jun-27-2006,2006,Edinburgh,,
Salman Butt,Pakistan,5,1,0,0,0,0,1,6,Scotland,36.82,2387,Jun-27-2006,2006,Edinburgh,,
Younis Khan,Pakistan,25,7,1,0,4,0,25,37,Scotland,31.34,2387,Jun-27-2006,2006,Edinburgh,,
Mohammad Yousuf,Pakistan,68,29,5,0,11,0,83,113,Scotland,41.71,2387,Jun-27-2006,2006,Edinburgh,,
Inzamam-ul-Haq,Pakistan,16,2,1,1,0,0,7,20,Scotland,39.52,2387,Jun-27-2006,2006,Edinburgh,,
Shahid Afridi,Pakistan,5,3,0,0,2,0,11,10,Scotland,23.57,2387,Jun-27-2006,2006,Edinburgh,,
Abdul Razzaq,Pakistan,21,21,1,0,2,3,49,48,Scotland,29.7,2387,Jun-27-2006,2006,Edinburgh,,
WU Tharanga,Sri Lanka,44,24,5,2,5,0,60,80,England,33.39,2388,Jun-28-2006,2006,Manchester,,
ST Jayasuriya,Sri Lanka,15,2,0,0,3,0,14,20,England,32.36,2388,Jun-28-2006,2006,Manchester,,
DPMD Jayawardene,Sri Lanka,27,31,15,1,9,0,100,83,England,33.37,2388,Jun-28-2006,2006,Manchester,,
KC Sangakkara,Sri Lanka,9,5,1,0,0,0,7,15,England,41.98,2388,Jun-28-2006,2006,Manchester,,
TM Dilshan,Sri Lanka,7,3,0,0,1,0,7,11,England,39.65,2388,Jun-28-2006,2006,Manchester,,
RP Arnold,Sri Lanka,2,4,0,1,0,0,7,7,England,35.26,2388,Jun-28-2006,2006,Manchester,,
MF Maharoof,Sri Lanka,19,22,2,0,5,2,58,50,England,19.29,2388,Jun-28-2006,2006,Manchester,,
WPUJC Vaas,Sri Lanka,8,7,0,0,0,0,7,15,England,13.68,2388,Jun-28-2006,2006,Manchester,,
HMCM Bandara,Sri Lanka,10,7,0,1,3,1,28,22,England,12.3,2388,Jun-28-2006,2006,Manchester,,
ME Trescothick,England,22,10,0,0,7,1,44,40,Sri Lanka,37.37,2388,Jun-28-2006,2006,Manchester,,
AN Cook,England,23,7,0,0,8,0,39,38,Sri Lanka,36.4,2388,Jun-28-2006,2006,Manchester,,
IR Bell,England,25,18,4,0,1,0,30,48,Sri Lanka,37.87,2388,Jun-28-2006,2006,Manchester,,
AJ Strauss,England,19,15,5,0,5,0,45,44,Sri Lanka,35.63,2388,Jun-28-2006,2006,Manchester,,
VS Solanki,England,9,8,1,0,0,0,10,18,Sri Lanka,25.33,2388,Jun-28-2006,2006,Manchester,,
JWM Dalrymple,England,23,21,4,0,1,0,33,49,Sri Lanka,20,2388,Jun-28-2006,2006,Manchester,,
GO Jones,England,8,7,3,0,1,1,23,20,Sri Lanka,24.62,2388,Jun-28-2006,2006,Manchester,,
TT Bresnan,England,3,4,4,0,2,0,20,13,Sri Lanka,19.79,2388,Jun-28-2006,2006,Manchester,,
LE Plunkett,England,4,9,2,0,1,2,29,18,Sri Lanka,21,2388,Jun-28-2006,2006,Manchester,,
Kabir Ali,England,1,0,0,0,0,0,0,1,Sri Lanka,15.5,2388,Jun-28-2006,2006,Manchester,,
SJ Harmison,England,1,2,0,0,0,0,2,3,Sri Lanka,8.27,2388,Jun-28-2006,2006,Manchester,,
ME Trescothick,England,57,37,7,0,16,1,121,118,Sri Lanka,37.37,2389,Jul-01-2006,2006,Leeds,,
AN Cook,England,31,13,6,0,4,0,41,54,Sri Lanka,36.4,2389,Jul-01-2006,2006,Leeds,,
IR Bell,England,13,12,1,0,1,0,18,27,Sri Lanka,37.87,2389,Jul-01-2006,2006,Leeds,,
AJ Strauss,England,13,15,2,1,1,0,26,32,Sri Lanka,35.63,2389,Jul-01-2006,2006,Leeds,,
VS Solanki,England,7,20,3,0,3,1,44,34,Sri Lanka,25.33,2389,Jul-01-2006,2006,Leeds,,
JWM Dalrymple,England,12,8,3,0,4,0,30,27,Sri Lanka,20,2389,Jul-01-2006,2006,Leeds,,
GO Jones,England,3,2,0,0,0,0,2,5,Sri Lanka,24.62,2389,Jul-01-2006,2006,Leeds,,
TT Bresnan,England,2,0,0,0,1,0,4,3,Sri Lanka,19.79,2389,Jul-01-2006,2006,Leeds,,
LE Plunkett,England,0,3,3,0,0,0,9,6,Sri Lanka,21,2389,Jul-01-2006,2006,Leeds,,
WU Tharanga,Sri Lanka,47,34,5,1,14,1,109,102,England,33.39,2389,Jul-01-2006,2006,Leeds,,
ST Jayasuriya,Sri Lanka,34,34,7,0,20,4,152,99,England,32.36,2389,Jul-01-2006,2006,Leeds,,
DPMD Jayawardene,Sri Lanka,6,6,1,0,1,0,12,14,England,33.37,2389,Jul-01-2006,2006,Leeds,,
KC Sangakkara,Sri Lanka,9,5,1,0,4,0,23,19,England,41.98,2389,Jul-01-2006,2006,Leeds,,
Javed Omar,Bangladesh,14,0,0,0,2,0,8,16,Zimbabwe,23.85,2392,Jul-29-2006,2006,Harare,,
Shahriar Nafees,Bangladesh,70,32,6,0,7,1,78,116,Zimbabwe,31.44,2392,Jul-29-2006,2006,Harare,,
Aftab Ahmed,Bangladesh,3,0,0,0,0,0,0,3,Zimbabwe,24.73,2392,Jul-29-2006,2006,Harare,,
Mohammad Ashraful,Bangladesh,20,5,1,0,3,1,25,30,Zimbabwe,22.23,2392,Jul-29-2006,2006,Harare,,
Habibul Bashar,Bangladesh,36,16,3,0,3,1,40,59,Zimbabwe,21.68,2392,Jul-29-2006,2006,Harare,,
Alok Kapali,Bangladesh,13,12,2,1,1,0,23,29,Zimbabwe,19.6,2392,Jul-29-2006,2006,Harare,,
Mohammad Rafique,Bangladesh,14,5,5,0,3,2,39,29,Zimbabwe,13.38,2392,Jul-29-2006,2006,Harare,,
Khaled Mashud,Bangladesh,5,8,1,0,1,0,14,15,Zimbabwe,21.9,2392,Jul-29-2006,2006,Harare,,
Mashrafe Mortaza,Bangladesh,0,1,1,0,1,0,7,3,Zimbabwe,14.77,2392,Jul-29-2006,2006,Harare,,
V Sibanda,Zimbabwe,43,6,2,0,3,0,22,54,Bangladesh,24.45,2392,Jul-29-2006,2006,Harare,,
CJ Chibhabha,Zimbabwe,8,1,0,0,0,0,1,9,Bangladesh,23,2392,Jul-29-2006,2006,Harare,,
HP Rinke,Zimbabwe,11,4,1,0,1,0,10,17,Bangladesh,24.71,2392,Jul-29-2006,2006,Harare,,
H Masakadza,Zimbabwe,9,3,0,0,1,0,7,13,Bangladesh,27.96,2392,Jul-29-2006,2006,Harare,,
BRM Taylor,Zimbabwe,12,9,2,0,3,0,25,26,Bangladesh,34.82,2392,Jul-29-2006,2006,Harare,,
S Matsikenyeri,Zimbabwe,49,34,9,1,7,1,89,101,Bangladesh,22.01,2392,Jul-29-2006,2006,Harare,,
E Chigumbura,Zimbabwe,28,27,5,1,6,1,70,68,Bangladesh,24.94,2392,Jul-29-2006,2006,Harare,,
P Utseya,Zimbabwe,2,4,0,0,1,0,8,7,Bangladesh,16.89,2392,Jul-29-2006,2006,Harare,,
RS Higgins,Zimbabwe,1,0,0,0,0,0,0,1,Bangladesh,10,2392,Jul-29-2006,2006,Harare,,
T Mupariwa,Zimbabwe,1,1,0,0,0,0,1,2,Bangladesh,8.76,2392,Jul-29-2006,2006,Harare,,
Javed Omar,Bangladesh,14,2,2,0,1,0,10,19,Zimbabwe,23.85,2393,Jul-30-2006,2006,Harare,,
Shahriar Nafees,Bangladesh,20,3,0,0,1,0,7,24,Zimbabwe,31.44,2393,Jul-30-2006,2006,Harare,,
Aftab Ahmed,Bangladesh,12,5,0,1,5,2,40,25,Zimbabwe,24.73,2393,Jul-30-2006,2006,Harare,,
Mohammad Ashraful,Bangladesh,20,4,0,0,0,0,4,24,Zimbabwe,22.23,2393,Jul-30-2006,2006,Harare,,
Habibul Bashar,Bangladesh,11,1,0,0,1,0,5,13,Zimbabwe,21.68,2393,Jul-30-2006,2006,Harare,,
Farhad Reza,Bangladesh,34,10,6,2,4,1,50,57,Zimbabwe,8,2393,Jul-30-2006,2006,Harare,,
Khaled Mashud,Bangladesh,41,27,5,1,2,0,48,76,Zimbabwe,21.9,2393,Jul-30-2006,2006,Harare,,
Mohammad Rafique,Bangladesh,25,12,5,0,1,1,32,44,Zimbabwe,13.38,2393,Jul-30-2006,2006,Harare,,
Mashrafe Mortaza,Bangladesh,3,5,3,0,1,0,15,12,Zimbabwe,14.77,2393,Jul-30-2006,2006,Harare,,
Abdur Razzak,Bangladesh,0,4,2,0,0,0,8,6,Zimbabwe,13.43,2393,Jul-30-2006,2006,Harare,,
V Sibanda,Zimbabwe,43,12,1,1,4,0,33,61,Bangladesh,24.45,2393,Jul-30-2006,2006,Harare,,
CJ Chibhabha,Zimbabwe,2,0,0,0,1,0,4,3,Bangladesh,23,2393,Jul-30-2006,2006,Harare,,
HP Rinke,Zimbabwe,14,6,0,0,1,0,10,21,Bangladesh,24.71,2393,Jul-30-2006,2006,Harare,,
H Masakadza,Zimbabwe,8,0,0,0,1,0,4,9,Bangladesh,27.96,2393,Jul-30-2006,2006,Harare,,
BRM Taylor,Zimbabwe,15,6,0,0,2,0,14,23,Bangladesh,34.82,2393,Jul-30-2006,2006,Harare,,
S Matsikenyeri,Zimbabwe,24,23,6,1,2,0,46,56,Bangladesh,22.01,2393,Jul-30-2006,2006,Harare,,
E Chigumbura,Zimbabwe,37,10,1,1,0,0,15,49,Bangladesh,24.94,2393,Jul-30-2006,2006,Harare,,
P Utseya,Zimbabwe,4,6,0,0,0,0,6,10,Bangladesh,16.89,2393,Jul-30-2006,2006,Harare,,
T Mupariwa,Zimbabwe,3,1,0,0,0,0,1,4,Bangladesh,8.76,2393,Jul-30-2006,2006,Harare,,
NB Mahwire,Zimbabwe,10,3,0,0,1,1,13,15,Bangladesh,10.63,2393,Jul-30-2006,2006,Harare,,
EC Rainsford,Zimbabwe,11,3,3,0,0,0,9,17,Bangladesh,-,2393,Jul-30-2006,2006,Harare,,
Javed Omar,Bangladesh,10,0,1,0,1,0,6,12,Zimbabwe,23.85,2394,Aug-02-2006,2006,Harare,,
Shahriar Nafees,Bangladesh,1,0,0,0,0,0,0,1,Zimbabwe,31.44,2394,Aug-02-2006,2006,Harare,,
Rajin Saleh,Bangladesh,55,24,7,0,4,0,54,90,Zimbabwe,23.92,2394,Aug-02-2006,2006,Harare,,
Aftab Ahmed,Bangladesh,22,4,3,1,7,2,53,39,Zimbabwe,24.73,2394,Aug-02-2006,2006,Harare,,
Mohammad Ashraful,Bangladesh,30,13,5,1,5,0,46,54,Zimbabwe,22.23,2394,Aug-02-2006,2006,Harare,,
Farhad Reza,Bangladesh,14,9,3,0,0,0,15,26,Zimbabwe,8,2394,Aug-02-2006,2006,Harare,,
Khaled Mashud,Bangladesh,21,11,0,0,0,0,11,32,Zimbabwe,21.9,2394,Aug-02-2006,2006,Harare,,
Mohammad Rafique,Bangladesh,6,0,0,0,0,0,0,6,Zimbabwe,13.38,2394,Aug-02-2006,2006,Harare,,
Mashrafe Mortaza,Bangladesh,4,2,0,0,0,0,2,6,Zimbabwe,14.77,2394,Aug-02-2006,2006,Harare,,
Abdur Razzak,Bangladesh,8,10,3,0,1,0,20,22,Zimbabwe,13.43,2394,Aug-02-2006,2006,Harare,,
Shahadat Hossain,Bangladesh,5,1,0,0,0,0,1,6,Zimbabwe,7.9,2394,Aug-02-2006,2006,Harare,,
V Sibanda,Zimbabwe,23,1,3,1,1,0,14,29,Bangladesh,24.45,2394,Aug-02-2006,2006,Harare,,
T Duffin,Zimbabwe,53,18,5,0,5,0,48,81,Bangladesh,23.73,2394,Aug-02-2006,2006,Harare,,
H Masakadza,Zimbabwe,33,14,4,0,4,0,38,55,Bangladesh,27.96,2394,Aug-02-2006,2006,Harare,,
BRM Taylor,Zimbabwe,31,27,5,0,6,3,79,72,Bangladesh,34.82,2394,Aug-02-2006,2006,Harare,,
S Matsikenyeri,Zimbabwe,3,3,0,0,1,0,7,7,Bangladesh,22.01,2394,Aug-02-2006,2006,Harare,,
TV Mufambisi,Zimbabwe,12,6,1,0,0,0,8,19,Bangladesh,30.76,2394,Aug-02-2006,2006,Harare,,
E Chigumbura,Zimbabwe,1,0,0,0,0,0,0,1,Bangladesh,24.94,2394,Aug-02-2006,2006,Harare,,
P Utseya,Zimbabwe,1,0,0,0,0,0,0,1,Bangladesh,16.89,2394,Aug-02-2006,2006,Harare,,
T Mupariwa,Zimbabwe,15,13,4,0,3,0,33,35,Bangladesh,8.76,2394,Aug-02-2006,2006,Harare,,
NB Mahwire,Zimbabwe,0,0,0,0,0,0,0,0,Bangladesh,10.63,2394,Aug-02-2006,2006,Harare,,
Rajin Saleh,Bangladesh,25,4,1,0,0,0,11,31,Zimbabwe,23.92,2395,Aug-04-2006,2006,Harare,,
Shahriar Nafees,Bangladesh,62,25,2,0,4,0,45,93,Zimbabwe,31.44,2395,Aug-04-2006,2006,Harare,,
Aftab Ahmed,Bangladesh,9,3,2,0,5,0,27,19,Zimbabwe,24.73,2395,Aug-04-2006,2006,Harare,,
Mohammad Ashraful,Bangladesh,7,2,0,0,1,0,6,10,Zimbabwe,22.23,2395,Aug-04-2006,2006,Harare,,
Alok Kapali,Bangladesh,10,2,0,0,2,0,10,14,Zimbabwe,19.6,2395,Aug-04-2006,2006,Harare,,
Farhad Reza,Bangladesh,30,16,2,0,1,1,30,50,Zimbabwe,8,2395,Aug-04-2006,2006,Harare,,
Khaled Mashud,Bangladesh,21,14,3,0,0,0,20,38,Zimbabwe,21.9,2395,Aug-04-2006,2006,Harare,,
Mohammad Rafique,Bangladesh,10,0,0,0,0,0,0,10,Zimbabwe,13.38,2395,Aug-04-2006,2006,Harare,,
Mashrafe Mortaza,Bangladesh,16,7,2,0,3,0,23,28,Zimbabwe,14.77,2395,Aug-04-2006,2006,Harare,,
Abdur Razzak,Bangladesh,1,3,0,0,0,0,3,4,Zimbabwe,13.43,2395,Aug-04-2006,2006,Harare,,
Shahadat Hossain,Bangladesh,1,3,1,0,0,0,5,5,Zimbabwe,7.9,2395,Aug-04-2006,2006,Harare,,
T Duffin,Zimbabwe,23,8,1,2,2,0,24,36,Bangladesh,23.73,2395,Aug-04-2006,2006,Harare,,
V Sibanda,Zimbabwe,51,8,1,0,6,2,46,68,Bangladesh,24.45,2395,Aug-04-2006,2006,Harare,,
GM Strydom,Zimbabwe,34,12,1,2,8,1,58,58,Bangladesh,37.85,2395,Aug-04-2006,2006,Harare,,
H Masakadza,Zimbabwe,8,14,1,1,0,0,19,24,Bangladesh,27.96,2395,Aug-04-2006,2006,Harare,,
BRM Taylor,Zimbabwe,15,13,0,0,2,1,27,31,Bangladesh,34.82,2395,Aug-04-2006,2006,Harare,,
S Matsikenyeri,Zimbabwe,17,12,3,0,2,0,26,34,Bangladesh,22.01,2395,Aug-04-2006,2006,Harare,,
T Duffin,Zimbabwe,32,9,0,1,7,0,40,49,Bangladesh,23.73,2398,Aug-06-2006,2006,Harare,,
V Sibanda,Zimbabwe,19,3,1,0,3,0,17,26,Bangladesh,24.45,2398,Aug-06-2006,2006,Harare,,
H Masakadza,Zimbabwe,52,35,10,0,2,2,75,101,Bangladesh,27.96,2398,Aug-06-2006,2006,Harare,,
BRM Taylor,Zimbabwe,49,20,2,0,0,0,24,71,Bangladesh,34.82,2398,Aug-06-2006,2006,Harare,,
E Chigumbura,Zimbabwe,3,0,0,0,0,0,0,3,Bangladesh,24.94,2398,Aug-06-2006,2006,Harare,,
S Matsikenyeri,Zimbabwe,3,8,1,0,0,0,10,12,Bangladesh,22.01,2398,Aug-06-2006,2006,Harare,,
TV Mufambisi,Zimbabwe,3,1,0,0,0,0,1,4,Bangladesh,30.76,2398,Aug-06-2006,2006,Harare,,
P Utseya,Zimbabwe,9,3,0,0,1,0,7,13,Bangladesh,16.89,2398,Aug-06-2006,2006,Harare,,
NB Mahwire,Zimbabwe,9,2,1,0,0,0,4,12,Bangladesh,10.63,2398,Aug-06-2006,2006,Harare,,
AJ Ireland,Zimbabwe,5,3,0,0,0,0,3,8,Bangladesh,-,2398,Aug-06-2006,2006,Harare,,
EC Rainsford,Zimbabwe,0,1,0,0,0,0,1,1,Bangladesh,-,2398,Aug-06-2006,2006,Harare,,
Rajin Saleh,Bangladesh,41,11,1,0,6,0,37,59,Zimbabwe,23.92,2398,Aug-06-2006,2006,Harare,,
Shahriar Nafees,Bangladesh,80,45,9,1,13,0,118,148,Zimbabwe,31.44,2398,Aug-06-2006,2006,Harare,,
